Set,90s Nostalgia Pack,Special,Duplicates,v1.0,v1.1,v1.2,v1.4,,,,Set,Climate Catastrophe Pack,Special,Special,Duplicates,v1.0,v1.1,,,,,Set,Culture Wars Pack,Special,Duplicates,v1.0,v1.1,
,"30 cards
Released: May 13, 2014.
Icon: 90s 
Updated icon: floppy disk
Originally given out at PAX East 2014. ",,,,,,,,,,,"30 cards 
Released: November, 9 2021. 
Icon: Fire",,,,,,,,,,,"30 cards 
Released: August 8, 2023
Icon: Two fists fighting",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prompt,Believe it or not Jim Carrey can do a dead-on impression of ______.,,,v1.0,v1.1,v1.2,v1.4,,,,Prompt,"Al Gore is giving the world a wake-up call with his new documentary, ""An Inconvenient Truth About ______."" ",,,,v1.0,v1.1,,,,,Prompt,BREAKING NEWS: HUNTER BIDEN _______!,,,v1.0,,
Prompt,How did Stella get her groove back?,,,v1.0,v1.1,v1.2,v1.4,,,,Prompt,BREAKING NEWS: Florida destroyed by ______!,,,,v1.0,v1.1,,,,,Prompt,"If the RADICAL LEFT gets their way, they'll cancel _______!",,,v1.0,,
Prompt,"I can show you ______, shining, shimmering, splendid.",,,,,,v1.4,,,,Prompt,Greta Thunberg hates ______.,,,,v1.0,v1.1,,,,,Prompt,Stop trying to blame this on guns. Mass shootings are really caused by _______!,,,v1.0,,
Prompt,"I'm a bitch, I'm a lover, I'm a child, I'm ______.",,,v1.0,v1.1,v1.2,v1.4,,,,Prompt,"New from David Attenborough, Planet Earth III: ______.",,,,v1.0,v1.1,,,,,,,,,,,
Prompt,"If I were a Spice Girl, I’d be “______ Spice.”",,,,,,v1.4,,,,Prompt,What's a simple solution to all of humanity's problems?,,,,v1.0,v1.1,,,,,Response,Abstinence-only sex education.,,,v1.0,,
Prompt,It's Morphin' Time! Mastodon! Pterodactyl! Triceratops! Sabertooth Tiger! ______!,,,v1.0,v1.1,v1.2,v1.4,,,,,,,,,,,,,,,Response,Arguing about wheter gay cops get to march in Pride.,,,v1.0,,
Prompt,"Siskel and Ebert have panned ______ as ""poorly conceived"" and ""sloppily executed.""",,,v1.0,v1.1,v1.2,v1.4,,,,Response,36 billion metric tons of CO₂. ,,,,v1.0,v1.1,,,,,Response,"Calling Grandma a ""fascist bimbo.""",,,v1.0,,
Prompt,"Tonight on SNICK: ""Are You Afriad of ______?",,,v1.0,v1.1,v1.2,v1.4,,,,Response,"A chart that just says ""SHIT BAD."" ",,,,v1.0,v1.1,,,,,Response,Christopher Columbus.,,,v1.0,,
Prompt,"Up next on Nickelodeon: ""Clarissa Explains ______.""",,,v1.0,v1.1,v1.2,v1.4,,,,Response,"A massive, coordinated international effort to stop climate change.",,,,v1.0,v1.1,,,,,Response,Dead cops.,,,v1.0,,
,,,,,,,,,,,Response,Ball sweat.,,,,v1.0,v1.1,,,,,Response,Expressing offensive views behind closed doors with longtime friends.,,,v1.0,,
Response,A bus that will explode if it goes under 50 miles per hour.,,,v1.0,v1.1,v1.2,v1.4,,,,Response,Dead whales all over the place.,,,,v1.0,v1.1,,,,,Response,Gender-affirming surgery.,,,v1.0,,
Response,"A mulatto, an albino, a mosquito, and my libido.",,,v1.0,v1.1,v1.2,,,,,Response,Eating Grandma to survive.,,,,v1.0,v1.1,,,,,Response,Getting mad at someone for not getting mad enough about what I'm mad about.,,,v1.0,,
Response,A threesome with 1996 Denise Richards and 1999 Denise Richards.,,,,,v1.2,v1.4,,,,Response,Empty promises and half measures. ,,,,v1.0,v1.1,,,,,Response,"Googling ""how to do an at-home abortion.""",,,v1.0,,
Response,Angels interfering in an otherwise fair baseball game.,,,v1.0,v1.1,v1.2,,,,,Response,Everybody giving Al Gore the apology-blowjob he deserves.,,,,,v1.1,,,,,Response,Grooming minors.,,,v1.0,,
Response,Cool 90s up-in-the-front hair.,,,v1.0,v1.1,v1.2,v1.4,,,,Response,Fucking a tree.,,,,v1.0,v1.1,,,,,Response,Hunter Biden's cock.,,,v1.0,,
Response,Deregulating the mortgage market.,,,v1.0,v1.1,v1.2,v1.4,,,,Response,Getting hurled into a wildfire by a hurricane. ,,,,v1.0,v1.1,,,,,Response,"January 6th, 2021.",,,v1.0,,
Response,Freeing Willy.,,,v1.0,v1.1,v1.2,v1.4,,,,Response,Giving billions of taxpayer dollars to oil companies.,,,,v1.0,,,,,,Response,Making it about race.,,,v1.0,,
Response,Getting caught up in the CROSSFIRE™.,,,v1.0,v1.1,,,,,,Response,Hot.,,,,v1.0,v1.1,,,,,Response,Marjorie Taylor Greene.,,,v1.0,,
Response,"Getting jiggy with it, as it were.",,,,,,v1.4,,,,Response,Human extinction.,,,,v1.0,v1.1,,,,,Response,My constitutional right to carry a concealed submachine gun into Chipotle.,,,v1.0,,
Response,Jerking off to a 10-second RealMedia clip.,,,v1.0,v1.1,v1.2,v1.4,,,,Response,Ignoring climate change and hoping it goes away.,,,,v1.0,v1.1,,,,,Response,Nazis being a thing again.,,,v1.0,,
Response,Kurt Cobain's death.,,,v1.0,v1.1,v1.2,v1.4,,,,Response,"Living in a pineapple under the sea, because of climate change.",,,,v1.0,v1.1,,,,,Response,Pedophile Island.,,,v1.0,,
Response,Letting Tim Allen do the Home Improvement grunt into my pussy.,,,,,,v1.4,,,,Response,Not believing in science.,,,,v1.0,v1.1,,,,,Response,Pretending to be Native American.,,,v1.0,,
Response,Liking big butts and not being able to lie about it.,,,v1.0,v1.1,v1.2,v1.4,,,,Response,OH MY GOD WE'RE ALL GOING TO DIE. ,,,,v1.0,v1.1,,,,,Response,Privilege.,,,v1.0,,
Response,Log™.,,,v1.0,v1.1,v1.2,v1.4,,,,Response,Plastic.,,,,v1.0,v1.1,,,,,Response,Scanning a QR code to learn more about how Home Depot is celebrating LGBTQ voices.,,,v1.0,,
Response,Painting with all the colors of the wind.,,,,,v1.2,v1.4,,,,Response,Post-apocalyptic bear-cockroaches.,,,,v1.0,v1.1,,,,,Response,Shameless hypocrisy.,,,v1.0,,
Response,Pamela Anderson's boobs running in slow motion.,,,v1.0,v1.1,v1.2,v1.4,,,,Response,Regulatory capture.,,,,v1.0,v1.1,,,,,Response,"Stuffing Tucker Carlson in the microwave and pressing ""potato.""",,,v1.0,,
Response,Patti Mayonnaise.,,,v1.0,v1.1,v1.2,v1.4,,,,Response,Sucking the farts out of a cow's butthole.,,,,v1.0,v1.1,,,,,Response,Tattooing my balls blue and yellow in solidarity with Ukraine.,,,v1.0,,
Response,"Pizza in the morning, pizza in the evening, pizza at supper time.",,,v1.0,v1.1,v1.2,v1.4,,,,Response,The Great Pacific Garbage Patch.,,,,v1.0,v1.1,,,,,Response,The Wuhan Institute of Virology.,,,v1.0,,
Response,"Pure Moods, Vol. 1.",,,v1.0,v1.1,v1.2,,,,,Response,The increasingly depressing narration in nature documentaries.,,,,v1.0,v1.1,,,,,Response,Today's mass shooting.,,,v1.0,,
Response,Several Michael Keatons,,,v1.0,v1.1,v1.2,,,,,Response,The world going to shit.,,,,v1.0,v1.1,,,,,Response,"Using the word ""Latinx.""",,,v1.0,,
Response,Stabbing the shit out of a Capri Sun.,,,v1.0,v1.1,v1.2,v1.4,,,,Response,Titty sweat.,,,,v1.0,v1.1,,,,,Response,Using they/them pronouns.,,,v1.0,,
Response,Sucking the president's dick.,,,v1.0,v1.1,v1.2,v1.4,,,,Response,"Trying to stop climate change with weird chemicals, but accidentally creating a new ice age, and now the only surviving humans are stuck on a cyberpunk murder-train.",,,,v1.0,v1.1,,,,,,,,,,,
Response,Sunny D! Alright!,,,v1.0,v1.1,v1.2,v1.4,,,,,,,,,,,,,,,,TOTALS:,,,30,0,0
Response,The 1996 Chicago Bulls.,,,,,,v1.4,,,,,TOTALS:,TOTALS:,,,30,30,0,0,0,,,,,,,,
Response,The Great Cornholio.,,,v1.0,v1.1,v1.2,v1.4,,,,,,,,,,,,,,,,,,,,,
Response,The Y2K bug.,,,v1.0,v1.1,v1.2,,,,,,,,,,,,,,,,,,,,,,
Response,Wearing Nicolas Cage's face.,,,v1.0,v1.1,v1.2,v1.4,,,,,,,,,,,,,,,,,,,,,
Response,"Yelling ""girl power!"" and doing a high kick.",,,v1.0,v1.1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTALS:,,,30,30,30,30,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set,Fantasy Pack,Special,Duplicates,v1.0,v1.1a,v1.1b,v1.2,,,,Set,Geek Pack,Special,Special,Source,v1.0,v1.1a,v1.1b,v1.2,,,Set,Movie Night Box,Special,Duplicates,v1.0,,
,"32 cards
Released: November 19, 2015. 
Icon: A Hitachi Magic Wand.
Updated icon: v1.1a a wand with a star on it
v1.1b released with Nerd Bundle with a couple new cards.",,,,,,,,,,,"30 cards
Released: May 3, 2016. 
Icon: A game controller D-Pad.
Updated Icon: v1.1a a gameboy
Note: originally in packs given away at PAX East and PAX Prime in 2013 and 2014. The cards are annoted with which PAX pack each card originally came from, but the annotations do not appear on the cards.
v1.1b released with Nerd Bundle with one new card.",,,,,,,,,,,"The Movie Night Box includes everything you need for the ultimate movie night experience:
•The all-new 30-card MOVIE PACK!
•A bag of microwave BUTTER POPCORN!
•A big shaker of CLAM-O-NAISE Seasoning to shake all over that popcorn!
•Four (4) packets of sweet, tangy FUN DIP!
•One ticket to stream all of the films in the Cards Against Humanity Short Film Festival & VOTE for which one should win $100,000!

Here come 30 all-new cards about those moving pictures everyone calls ""movies.""

Release Date: October 1, 2023
Icon: film clapboard
",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
